path,label,genus,species,subfolder
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie44.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie25.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie35.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 2/doussie54.png,Afzelia africana,Afzelia,africana,ngang 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie39.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 2/doussie6.png,Afzelia africana,Afzelia,africana,ngang 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 1/doussie35.png,Afzelia africana,Afzelia,africana,dọc 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 2/doussie27.png,Afzelia africana,Afzelia,africana,ngang 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie69.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 1/doussie30.png,Afzelia africana,Afzelia,africana,dọc 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 2/doussie31.png,Afzelia africana,Afzelia,africana,dọc 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie6.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 2/doussie20.png,Afzelia africana,Afzelia,africana,dọc 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 2/doussie35.png,Afzelia africana,Afzelia,africana,ngang 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 2/doussie11.png,Afzelia africana,Afzelia,africana,ngang 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 2/doussie24.png,Afzelia africana,Afzelia,africana,ngang 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie65.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie4.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 1/doussie37.png,Afzelia africana,Afzelia,africana,dọc 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 2/doussie35.png,Afzelia africana,Afzelia,africana,dọc 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/ngang 1/doussie78.png,Afzelia africana,Afzelia,africana,ngang 1
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 2/doussie26.png,Afzelia africana,Afzelia,africana,dọc 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 2/doussie25.png,Afzelia africana,Afzelia,africana,dọc 2
/kaggle/input/datasets/b23dckh002lvitanh/s3-origin/S3/Afzelia africana/dọc 2/doussie5.png,Afzelia africana,Afzelia,africana,dọc 2
