original_path,final_path
Pterocarpus indicus/sub_004/3395. Pterocarpus indicus.6 (185).png,train/Pterocarpus indicus/3395. Pterocarpus indicus.6 (185).png
Guibourtia ehie/sub_012/Guibourtia ehie_GHQN943_3_(96).png,train/Guibourtia ehie/Guibourtia ehie_GHQN943_3_(96).png
Pterocarpus sp/sub_049/129_1.png,train/Pterocarpus sp/129_1.png
Guibourtia arnoldiana/sub_010/3411. Guibourtia arnoldiana.9 (284).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.9 (284).png
Dalbergia rimosa/sub_042/3414. Dalbergia rimosa.4 (111).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.4 (111).png
Dalbergia oliveri/sub_056/Dalbergia oliveri_3237.5_ (8).png,train/Dalbergia oliveri/Dalbergia oliveri_3237.5_ (8).png
Guibourtia coleosperma/sub_031/Guibourtia coleosperma_3253.3 (36).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.3 (36).png
Sindora cochinchinensis/sub_014/gụ3.png,train/Sindora cochinchinensis/gụ3.png
Peltogyne pubescens/sub_004/3377. Peltogyne pubescens.10 (348).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.10 (348).png
Pterocarpus macrocarpus/sub_041/156_1.png,train/Pterocarpus macrocarpus/156_1.png
Pterocarpus soyauxii/sub_034/151.png,train/Pterocarpus soyauxii/151.png
Pterocarpus macrocarpus/sub_007/127_3.png,train/Pterocarpus macrocarpus/127_3.png
Pterocarpus erinaceus/sub_050/3403. Pterocarpus erinaceus.2 (60).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.2 (60).png
Dalbergia cochinchinensis/sub_059/Dalbergia cochinchinensis.3280.10 (28).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.10 (28).png
Dalbergia rimosa/sub_019/3414. Dalbergia rimosa.2 (42).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.2 (42).png
Afzelia pachyloba/sub_042/4.4_1.png,train/Afzelia pachyloba/4.4_1.png
Peltogyne pubescens/sub_013/3377. Peltogyne pubescens.1 (35).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.1 (35).png
Dalbergia tonkinensis/sub_053/3353. Dalbergia tonkinensis.1.(22).png,train/Dalbergia tonkinensis/3353. Dalbergia tonkinensis.1.(22).png
Afzelia pachyloba/sub_012/1.1_3.png,train/Afzelia pachyloba/1.1_3.png
Sindora tonkinensis/sub_014/3381. Sindora tonkinensis.4 (109).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.4 (109).png
Peltogyne pubescens/sub_050/3377. Peltogyne pubescens.2 (76).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.2 (76).png
Guibourtia ehie/sub_029/Guibourtia ehie_FEHC134_2_(75).png,train/Guibourtia ehie/Guibourtia ehie_FEHC134_2_(75).png
Afzelia africana/sub_010/doussie11.png,train/Afzelia africana/doussie11.png
Pterocarpus sp/sub_051/111_5.png,train/Pterocarpus sp/111_5.png
Pterocarpus soyauxii/sub_029/149_3.png,train/Pterocarpus soyauxii/149_3.png
Pterocarpus soyauxii/sub_070/181.png,train/Pterocarpus soyauxii/181.png
Peltogyne pubescens/sub_018/3377. Peltogyne pubescens.3 (94).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.3 (94).png
Afzelia quanzensis/sub_022/13_2.png,train/Afzelia quanzensis/13_2.png
Guibourtia ehie/sub_042/Guibourtia ehie_KREW954_4_(150).png,train/Guibourtia ehie/Guibourtia ehie_KREW954_4_(150).png
Pterocarpus soyauxii/sub_019/110.png,train/Pterocarpus soyauxii/110.png
Afzelia pachyloba/sub_016/4.1_1.png,train/Afzelia pachyloba/4.1_1.png
Sindora tonkinensis/sub_030/3381. Sindora tonkinensis.5 (130).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.5 (130).png
Afzelia quanzensis/sub_050/117_3.png,train/Afzelia quanzensis/117_3.png
Guibourtia coleosperma/sub_008/Guibourtia coleosperma_3253.4 (12).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.4 (12).png
Sindora tonkinensis/sub_022/3381. Sindora tonkinensis.3 (84).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.3 (84).png
Afzelia quanzensis/sub_015/132_1.png,train/Afzelia quanzensis/132_1.png
Dalbergia cochinchinensis/sub_067/Dalbergia cochinchinensis.3280.7 (32).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.7 (32).png
Pterocarpus sp/sub_039/134_2.png,train/Pterocarpus sp/134_2.png
Pterocarpus soyauxii/sub_020/142_1.png,train/Pterocarpus soyauxii/142_1.png
Peltogyne pubescens/sub_010/3377. Peltogyne pubescens.6 (216).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.6 (216).png
Afzelia quanzensis/sub_028/113_3.png,train/Afzelia quanzensis/113_3.png
Peltogyne pubescens/sub_027/3377. Peltogyne pubescens.10 (352).png,train/Peltogyne pubescens/3377. Peltogyne pubescens.10 (352).png
Dalbergia cochinchinensis/sub_053/Dalbergia cochinchinensis.3280.1 (27).png,train/Dalbergia cochinchinensis/Dalbergia cochinchinensis.3280.1 (27).png
Sindora tonkinensis/sub_002/3381. Sindora tonkinensis.6 (177).png,train/Sindora tonkinensis/3381. Sindora tonkinensis.6 (177).png
Afzelia africana/sub_004/doussie39_1.png,train/Afzelia africana/doussie39_1.png
Guibourtia coleosperma/sub_031/Guibourtia coleosperma_3253.8 (1).png,train/Guibourtia coleosperma/Guibourtia coleosperma_3253.8 (1).png
Pterocarpus erinaceus/sub_006/3403. Pterocarpus erinaceus.8 (249).png,train/Pterocarpus erinaceus/3403. Pterocarpus erinaceus.8 (249).png
Guibourtia arnoldiana/sub_018/3411. Guibourtia arnoldiana.9 (290).png,train/Guibourtia arnoldiana/3411. Guibourtia arnoldiana.9 (290).png
Afzelia bella/sub_055/Afzelia bella_HYBT691_(148).png,train/Afzelia bella/Afzelia bella_HYBT691_(148).png
Dalbergia rimosa/sub_020/3414. Dalbergia rimosa.4 (106).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.4 (106).png
Dalbergia rimosa/sub_063/3414. Dalbergia rimosa.8 (211).png,train/Dalbergia rimosa/3414. Dalbergia rimosa.8 (211).png
Dalbergia melanoxylon/sub_032/3352. Dalbergia melanoxylon.9.(238).png,train/Dalbergia melanoxylon/3352. Dalbergia melanoxylon.9.(238).png
Afzelia quanzensis/sub_020/112_1.png,train/Afzelia quanzensis/112_1.png
